place_id,place_type,place_name,latitude,longitude,website_url,property_address,map_url,phone
ChIJsa45lJqj9YgR4lEVLZPFU7M,local_government_office,Social Security Administration Office,33.9384234,-84.1530901,http://www.ssa.gov/,"4365 Shackleford Rd, Norcross, GA 30093, USA",https://maps.google.com/?cid=12921888991763321314,(800) 772-1213
ChIJ-zhChxMR9YgR3TvlvwlVP5w,local_government_office,US Social Security Administration,33.9159713,-84.495922,http://www.ssa.gov/,"1415 Franklin Gateway SE, Marietta, GA 30067, USA",https://maps.google.com/?cid=11258811093812067293,(800) 772-1213
ChIJN4nUTzp44RQR1Kh6tVnrd4I,local_government_office,Social Security Administration,33.7651981,-84.387178,http://www.ssa.gov/atlanta/,"401 West Peachtree St NW #2860, Atlanta, GA 30308, USA",https://maps.google.com/?cid=9401241517688531156,(800) 772-1213
ChIJ72UviGAI9YgRzYIk4JVjHkQ,local_government_office,Office of Disability Adjudication and Review,33.8494244,-84.3122536,http://ssa.gov/appeals/ho_locator.html#vt=3,"3105 Clairmont Rd, Atlanta, GA 30341, USA",https://maps.google.com/?cid=4908470139242185421,(855) 210-1031
ChIJH8TIzlkP9YgRb-tj2sEYRhs,local_government_office,Atlanta Social Security Disability Lawyers,33.8489825,-84.3656511,http://www.socialsecuritylaw.com/,"3384 Peachtree Rd #600, Atlanta, GA 30326, USA",https://maps.google.com/?cid=1965285508265536367,(800) 772-1213
ChIJvYB6B34A9YgRLOrmAmTHkUQ,local_government_office,US Social Security Administration,33.7065511,-84.2765179,http://www.ssa.gov/,"2853 Candler Rd #8, Decatur, GA 30034, USA",https://maps.google.com/?cid=4940949498561489452,(800) 772-1213
ChIJ44GMBOcui4gR8i4xrFCwwug,local_government_office,US Social Security Administration,33.7137529,-84.9359189,https://secure.ssa.gov/ICON/ic001.do#officeResults,"908 S Carroll Rd, Villa Rica, GA 30180, USA",https://maps.google.com/?cid=16772161822813925106,(866) 331-2318
ChIJp1Z7sJKkiogRt_Gfhdt68-E,local_government_office,US Social Security Administration,34.2756392,-85.1690615,https://secure.ssa.gov/ICON/ic001.do#officeResults,"480 Riverside Pkwy NE, Rome, GA 30161, USA",https://maps.google.com/?cid=16281492161132753335,(706) 291-5660
ChIJN4nUTzp44RQR1Kh6tVnrd4I,local_government_office,Social Security Administration,33.7651981,-84.387178,http://www.ssa.gov/atlanta/,"401 West Peachtree St NW #2860, Atlanta, GA 30308, USA",https://maps.google.com/?cid=9401241517688531156,(800) 772-1213
ChIJH8TIzlkP9YgRb-tj2sEYRhs,local_government_office,Atlanta Social Security Disability Lawyers,33.8489825,-84.3656511,http://www.socialsecuritylaw.com/,"3384 Peachtree Rd #600, Atlanta, GA 30326, USA",https://maps.google.com/?cid=1965285508265536367,(800) 772-1213
ChIJ72UviGAI9YgRzYIk4JVjHkQ,local_government_office,Office of Disability Adjudication and Review,33.8494244,-84.3122536,http://ssa.gov/appeals/ho_locator.html#vt=3,"3105 Clairmont Rd, Atlanta, GA 30341, USA",https://maps.google.com/?cid=4908470139242185421,(855) 210-1031
ChIJPSV9PyLG9IgRnTu4dRib-Dc,local_government_office,US Social Security Administration,33.3937198,-84.7672862,http://socialsecurityhop.com/offices/social-security-office-newnan-ga-30263-georgia,"246 Bullsboro Dr, Newnan, GA 30263, USA",https://maps.google.com/?cid=4033143995666807709,(800) 772-1213
ChIJ_7uksm4E9YgRYurMyUiGEAs,local_government_office,Social Security Disability,33.6505917,-84.5127796,http://www.ssa.gov/,"3800 Camp Creek Pkwy #122, Atlanta, GA 30331, USA",https://maps.google.com/?cid=797284781225994850,(404) 748-1294
ChIJV_QH5VP59IgRfqIpBwXT-7U,local_government_office,Social Security,33.5732655,-84.3480209,http://www.ssa.gov/,"6670 Merchants Way, Morrow, GA 30260, USA",https://maps.google.com/?cid=13113306758567797374,(800) 772-1213
ChIJ44GMBOcui4gR8i4xrFCwwug,local_government_office,US Social Security Administration,33.7137529,-84.9359189,https://secure.ssa.gov/ICON/ic001.do#officeResults,"908 S Carroll Rd, Villa Rica, GA 30180, USA",https://maps.google.com/?cid=16772161822813925106,(866) 331-2318
ChIJN3Hy4EKK9IgRVc8pzE_RGXQ,local_government_office,US Social Security Administration,33.2495805,-84.2918973,http://www.socialsecurity.gov/,"1548 Flynt St, Griffin, GA 30223, USA",https://maps.google.com/?cid=8365947923475320661,(866) 964-1005
ChIJB_Qy45lWi4gRiWa5Xj_ryEA,local_government_office,US Social Security Administration,33.0402222,-84.9975014,http://www.ssa.gov/,"1300 Lafayette Pkwy, LaGrange, GA 30241, USA",https://maps.google.com/?cid=4668239671174194825,(866) 836-6744
ChIJsa45lJqj9YgR4lEVLZPFU7M,local_government_office,Social Security Administration Office,33.9384234,-84.1530901,http://www.ssa.gov/,"4365 Shackleford Rd, Norcross, GA 30093, USA",https://maps.google.com/?cid=12921888991763321314,(800) 772-1213
ChIJFxQLYUIm9YgR53YXfUKAN1M,lawyer,"Ellene Welsh, P.C.",33.7513612,-84.7427168,http://www.ellenewelsh.com/,"6488 Spring St #203, Douglasville, GA 30134, USA",https://maps.google.com/?cid=5996402451921991399,(770) 489-3456
ChIJJVt-dBwvi4gRbiAO8742ZeQ,lawyer,Van Pelt & Dufour Law Firm: John Dufour,33.579592,-85.069789,http://www.goodattorneys.com/,"527 Newnan St, Carrollton, GA 30117, USA",https://maps.google.com/?cid=16457620607044821102,(770) 884-6854
ChIJ99CxUKEi9YgRzUdUXdImvgY,local_government_office,Cobb County Tax Commissioner's Office,33.839983,-84.6116835,http://www.cobbtax.org/locations,"4700 Austell Rd, Austell, GA 30106, USA",https://maps.google.com/?cid=485868494753384397,(770) 528-8247
ChIJvYB6B34A9YgRLOrmAmTHkUQ,local_government_office,US Social Security Administration,33.7065511,-84.2765179,http://www.ssa.gov/,"2853 Candler Rd #8, Decatur, GA 30034, USA",https://maps.google.com/?cid=4940949498561489452,(800) 772-1213
ChIJ-zhChxMR9YgR3TvlvwlVP5w,local_government_office,US Social Security Administration,33.9159713,-84.495922,http://www.ssa.gov/,"1415 Franklin Gateway SE, Marietta, GA 30067, USA",https://maps.google.com/?cid=11258811093812067293,(800) 772-1213
ChIJbcjfMXgE9YgRWzwvil3CFUM,lawyer,Law Office of Louis B. Lusk,33.7549536,-84.3896531,http://www.louisblusk.com/,"34 Peachtree St NW #1980, Atlanta, GA 30303, USA",https://maps.google.com/?cid=4833983482058194011,(404) 250-7000
ChIJ9anEkSLi9IgRsKeLdQXNaFY,local_government_office,Social Security Administration,33.6506345,-84.5127367,http://socialsecurity.gov/,"2400, 3800 Camp Creek Pkwy #122, Atlanta, GA 30331, USA",https://maps.google.com/?cid=6226451908170327984,(877) 828-1694
ChIJraT1P-L19YgRBKyxry5rb3M,local_government_office,Social Security Administration,34.3391932,-83.8486373,http://www.ssa.gov/,"2565 Thompson Bridge Rd #210, Gainesville, GA 30501, USA",https://maps.google.com/?cid=8317984885036919812,(866) 331-2309
ChIJp1Z7sJKkiogRt_Gfhdt68-E,local_government_office,US Social Security Administration,34.2756392,-85.1690615,https://secure.ssa.gov/ICON/ic001.do#officeResults,"480 Riverside Pkwy NE, Rome, GA 30161, USA",https://maps.google.com/?cid=16281492161132753335,(706) 291-5660
ChIJw1Zujxe8WIgRHrOE2xVEXXQ,local_government_office,US Social Security Administration,34.5803256,-83.3169659,https://secure.ssa.gov/ICON/ic001.do#officeResults,"155 Big A Rd, Toccoa, GA 30577, USA",https://maps.google.com/?cid=8384932941901640478,(877) 405-7655
ChIJA4uOGQV1YIgRJgNYbmRM3yQ,local_government_office,US Social Security Administration,34.7935984,-84.9732792,https://secure.ssa.gov/apps6z/FOLO/Controller,"301 Point N Pl, Dalton, GA 30720, USA",https://maps.google.com/?cid=2656926299403584294,(866) 593-5681
ChIJOZA9fgIM9YgRE3nHzUR-JSg,lawyer,Social Security Disability,33.9353786,-84.3615677,,"10 Glenlake Pkwy NE # 130, Atlanta, GA 30328, USA",https://maps.google.com/?cid=2892857169630689555,(404) 255-9166
ChIJiWSXE7gJ9YgRiNkgN-H8Mv0,point_of_interest,US General Services Administration,33.9004557,-84.2930252,http://www.gsa.gov/,"3719 N Peachtree Rd, Chamblee, GA 30341, USA",https://maps.google.com/?cid=18244923084654041480,(404) 562-2750
ChIJha-kcGCn9YgRjavAKdfEz2k,bank,Wells Fargo Bank,33.9085613,-84.2679499,https://www.wellsfargo.com/locator/bank/5772__BUFORD__HWY__NE_DORAVILLE_GA_30340/,"5772 Buford Hwy NE, Doraville, GA 30340, USA",https://maps.google.com/?cid=7624529122559044493,(404) 865-2780
ChIJtTPrQAk09IgRpCHE20Co_Xo,local_government_office,US Social Security Administration,33.591357,-83.8346882,http://www.ssa.gov/,"9180 Covington by Pass Rd, Covington, GA 30014, USA",https://maps.google.com/?cid=8862424638253441444,(877) 873-9106
